Title,Price,Bedrooms,Bathrooms,Area,Location,Property_Type,URL,Page
5 Bedrooms Villa For Sale in Omani City,"OMR1,500",5,5,"1,500 Sq. M.","Qantab, Muscat",Villa,https://www.bayut.om/en/property/details-500024648.html,1
"3 Bedrooms Apartment For Sale Mahut, Al Wusta","OMR1,200",3,3,"1,000 Sq. M.","Mahut, Al Wusta",Apartment,https://www.bayut.om/en/property/details-500024649.html,1
"5 Bedrooms Villa For Sale in Al Sifah, Muscat","OMR1,500",5,5,"1,000 Sq. M.","Al Sifah, Muscat",Villa,https://www.bayut.om/en/property/details-500024621.html,1
"4 Bedrooms Villa For Sale in Hamra, Al Dakhiliya","OMR1,000",4,4,"1,000 Sq. M.","Hamra, Al Dakhiliya",Villa,https://www.bayut.om/en/property/details-500024573.html,1
3 Bedrooms Apartment For Sale in Oman,"OMR120,000",3,3,110 Sq. M.,"Al Sinainah, Al Buraimi",Apartment,https://www.bayut.om/en/property/details-500024653.html,1
2 Bedrooms Apartment For Sale in Oman,"OMR100,000",2,2,100 Sq. M.,"Al Duqum, Al Wusta",Apartment,https://www.bayut.om/en/property/details-500024652.html,1
3 Bedrooms Apartment For Sale in Oman,"OMR220,000",3,3,100 Sq. M.,"Al Duqum, Al Wusta",Apartment,https://www.bayut.om/en/property/details-500024624.html,1
2 Bedrooms Apartment For Sale in Oman,"OMR22,000",2,2,112 Sq. M.,"Muqshin, Dhofar",Apartment,https://www.bayut.om/en/property/details-500024627.html,1
"3 Bedrooms Villa For Sale in Muscat Hills, Muscat","OMR390,000",3,4,471 Sq. M.,"Muscat Hills, Muscat",Villa,https://www.bayut.om/en/property/details-130322503.html,1
"2 Bedrooms Apartment For Sale in Muscat Hills, Muscat","OMR81,000",2,3,132 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130329918.html,1
"3 Bedroom Villa For Sale in Barka, Al Batinah","OMR49,000",3,4,345 Sq. M.,"Barka, Al Batinah",Villa,https://www.bayut.om/en/property/details-130323776.html,1
"6 Bedroom Villa For Sale Al Seeb, Muscat","OMR125,000",6,6,363 Sq. M.,"Al Seeb, Muscat",Villa,https://www.bayut.om/en/property/details-130321577.html,1
"5 Bedroom Villa For Sale in The Wave (Almouj), Muscat","OMR380,000",5,7,502 Sq. M.,"The Wave (Almouj), Muscat",Villa,https://www.bayut.om/en/property/details-130288092.html,1
"4 Bedroom Villa For Sale in The Wave (Almouj), Muscat","OMR309,000",4,4,420 Sq. M.,"The Wave (Almouj), Muscat",Villa,https://www.bayut.om/en/property/details-130288051.html,1
"6 Bedroom Villa For Sale in Al Amarat, Muscat","OMR79,999",6,7,650 Sq. M.,"Al Amarat, Muscat",Villa,https://www.bayut.om/en/property/details-130288045.html,1
"3 Bedrooms Apartment For Sale Al Ghubrah, Muscat","OMR85,000",3,3,160 Sq. M.,"Al Ghubrah, Muscat",Apartment,https://www.bayut.om/en/property/details-130287829.html,1
"5 Bedrooms Villa For Sale in The Wave (Almouj), Muscat","OMR295,000",5,5,265 Sq. M.,"The Wave (Almouj), Muscat",Villa,https://www.bayut.om/en/property/details-130285481.html,1
"4 Bedroom Villa For Sale in Al Maabilah, Muscat","OMR74,000",4,6,260 Sq. M.,"Al Maabilah, Muscat",Villa,https://www.bayut.om/en/property/details-130285475.html,1
"1 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","OMR93,000",1,2,107 Sq. M.,"The Wave (Almouj), Muscat",Apartment,https://www.bayut.om/en/property/details-130303215.html,1
"1 Bedroom Apartment For Sale Muscat Hills, Muscat","OMR67,000",1,2,70 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130292630.html,1
2 Bedroom Apartment For Sale in The Wave (Almouj) Muscat,"OMR130,000",2,2,149 Sq. M.,The Wave (Almouj) Muscat,Apartment,https://www.bayut.om/en/property/details-130287331.html,1
"2 Bedroom Villa For Sale Salalah, Dhofar","OMR85,000",2,2,120 Sq. M.,"Salalah, Dhofar",Villa,https://www.bayut.om/en/property/details-130285087.html,1
"3 Bedroom Villa For Sale in Qantab, Muscat","OMR496,000",3,4,769 Sq. M.,"Qantab, Muscat",Villa,https://www.bayut.om/en/property/details-130281899.html,1
"4 Bedrooms Villa For Sale Qantab, Muscat","OMR442,300",4,5,769 Sq. M.,"Qantab, Muscat",Villa,https://www.bayut.om/en/property/details-130281883.html,1
"2 Bedrooms Apartment For Sale in The Wave (Almouj), Muscat","OMR125,000",2,2,139 Sq. M.,"The Wave (Almouj), Muscat",Apartment,https://www.bayut.om/en/property/details-130325918.html,2
"3 Bedrooms Villa For Sale Al Amarat, Muscat","OMR59,000",3,4,178 Sq. M.,"Al Amarat, Muscat",Villa,https://www.bayut.om/en/property/details-130296535.html,2
"3 Bedrooms Apartment For Sale The Wave (Almouj), Muscat","OMR195,000",3,3,235 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130288165.html,2
"3 Bedroom Villa For Sale in Sultan Haitham City, Muscat","OMR116,500",3,3,194 Sq. M.,"Sultan Haitham City, Muscat",Villa,https://www.bayut.om/en/property/details-130282526.html,2
"3 Bedroom Villa For Sale in Sultan Haitham City, Muscat","OMR111,700",3,3,194 Sq. M.,"Sultan Haitham City, Muscat",Villa,https://www.bayut.om/en/property/details-130282543.html,2
"3 Bedroom Villa For Sale in Sultan Haitham City, Muscat","OMR121,200",3,3,205 Sq. M.,"Sultan Haitham City, Muscat",Villa,https://www.bayut.om/en/property/details-130282566.html,2
"4 Bedroom Villa For Sale in Muscat Hills, Muscat","OMR325,000",4,5,423 Sq. M.,"Muscat Hills, Muscat",Villa,https://www.bayut.om/en/property/details-130273586.html,2
1-Bedroom Apartment For Rent Muscat - Al Sifah,"OMR55,000",1,1,59 Sq. M.,"Al Sifah, Muscat",Apartment,https://www.bayut.om/en/property/details-130273305.html,2
"3 Bedrooms Apartment For Sale The Wave (Almouj), Muscat","OMR198,000",3,3,200 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130272566.html,2
"7 Bedroom Villa For Sale in Al Seeb, Muscat","OMR98,000",7,6,300 Sq. M.,"Al Seeb, Muscat",Villa,https://www.bayut.om/en/property/details-130282994.html,2
4 Bedroom Villa For Sale in Muscat - Other,"OMR350,000",4,3,460 Sq. M.,"Muscat - Other, Muscat",Villa,https://www.bayut.om/en/property/details-130266625.html,2
"2 Bedrooms Apartment For Sale Muscat Hills, Muscat","OMR88,000",2,1,105 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130301309.html,2
"1 Bedroom Apartment For Sale in Yiti, Muscat","OMR85,034",1,2,79 Sq. M.,"Yiti, Muscat",Apartment,https://www.bayut.om/en/property/details-130295729.html,2
"1 Bedroom Apartment For Sale Yiti, Muscat","OMR85,034",1,2,85 Sq. M.,"Yiti, Muscat",Apartment,https://www.bayut.om/en/property/details-130329678.html,2
"2 Bedroom Apartment For Sale Ghala, Muscat","OMR59,000",2,3,139 Sq. M.,"Ghala, Muscat",Apartment,https://www.bayut.om/en/property/details-130306966.html,2
"4 Bedrooms Villa For Sale in Barka, Al Batinah","OMR59,000",4,6,300 Sq. M.,"Barka, Al Batinah",Villa,https://www.bayut.om/en/property/details-130300440.html,2
"3 Bedroom Apartment For Sale in Qurum, Muscat","OMR54,000",3,3,108 Sq. M.,"Qurum, Muscat",Apartment,https://www.bayut.om/en/property/details-130289813.html,2
2 Bedrooms Apartment For Sale The Wave (Almouj) Muscat,"OMR450,000",2,3,183 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130279256.html,2
"2 Bedroom Apartment For Sale in Al Sifah, Muscat","OMR95,000",2,2,129 Sq. M.,"Al Sifah, Muscat",Apartment,https://www.bayut.om/en/property/details-130270497.html,2
2 Bedroom Apartment For Sale Al Sifah Muscat,"OMR99,000",2,2,129 Sq. M.,"Al Sifah, Muscat",Apartment,https://www.bayut.om/en/property/details-130270582.html,2
"2 Bedroom Apartment For Sale in Salalah, Dhofar","OMR85,000",2,3,120 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130270418.html,2
"6 Bedrooms Villa For Sale in Al Maabilah, Muscat","OMR88,000",6,5,781 Sq. M.,"Al Maabilah, Muscat",Villa,https://www.bayut.om/en/property/details-130257296.html,2
"4 Bedroom Villa For Sale in Yiti, Muscat","OMR238,000",4,5,256 Sq. M.,"Yiti, Muscat",Villa,https://www.bayut.om/en/property/details-130328953.html,2
"3 Bedrooms Apartment For Sale in Al Maabilah, Muscat","OMR74,350",3,4,155 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130286222.html,2
"Residential Land For Sale Thumrait, Dhofar","OMR12,300",N/A,N/A,586 Sq. M.,"Thumrait, Dhofar",Other,https://www.bayut.om/en/property/details-130258665.html,3
3 Bedrooms Apartment For Sale Al Maabilah Muscat,"OMR108,990",3,4,155 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130286239.html,3
"5 Bedrooms Villa For Sale in Madinat As Sultan Qaboos, Muscat","OMR429,000",5,6,725 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa,https://www.bayut.om/en/property/details-130288041.html,3
"4 Bedroom Villa For Sale in Muscat Hills, Muscat","OMR205,000",4,4,270 Sq. M.,"Muscat Hills, Muscat",Villa,https://www.bayut.om/en/property/details-130279790.html,3
4 Bedrooms Villas For Sale in Oman,OMR900,4,4,900 Sq. M.,"Al Sifah, Muscat",Villa,https://www.bayut.om/en/property/details-500024562.html,3
"2 Bedrooms Apartment For Sale in Qurum, Muscat","OMR405,000",2,3,131 Sq. M.,"Qurum, Muscat",Apartment,https://www.bayut.om/en/property/details-130287384.html,3
6 Bedroom Villa For Sale in The Wave (Almouj) Muscat,"OMR480,000",6,6,619 Sq. M.,The Wave (Almouj) Muscat,Villa,https://www.bayut.om/en/property/details-130294133.html,3
"5 Bedroom Villa For Sale in Barka, Al Batinah","OMR62,000",5,7,354 Sq. M.,"Barka, Al Batinah",Villa,https://www.bayut.om/en/property/details-130272074.html,3
"3 Bedrooms Villa For Sale in Salalah, Dhofar","OMR350,000",3,3,292 Sq. M.,"Salalah, Dhofar",Villa,https://www.bayut.om/en/property/details-130304185.html,3
"2 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","OMR140,000",2,2,127 Sq. M.,"The Wave (Almouj), Muscat",Apartment,https://www.bayut.om/en/property/details-130283306.html,3
"3 Bedrooms Apartment For Sale Al Maabilah, Muscat","OMR100,130",3,4,138 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130283342.html,3
5 Bedrooms Villa For Sale The Wave (Almouj) Muscat,"OMR578,000",5,6,455 Sq. M.,N/A,Villa,https://www.bayut.om/en/property/details-130260558.html,3
"4 Bedroom Villa For Sale in Al Khoud, Muscat","OMR85,000",4,6,283 Sq. M.,"Al Khoud, Muscat",Villa,https://www.bayut.om/en/property/details-130314419.html,3
"Residential Land For Sale in Mirbat, Dhofar","OMR31,000",N/A,N/A,600 Sq. M.,"Mirbat, Dhofar",Other,https://www.bayut.om/en/property/details-130322635.html,3
"1 Bedroom Apartment For Sale Al Sifah, Muscat","OMR65,000",1,1,91 Sq. M.,"Al Sifah, Muscat",Apartment,https://www.bayut.om/en/property/details-130306849.html,3
5 Bedrooms Villa For Sale Al Sifah Muscat,"OMR905,000",5,5,405 Sq. M.,"Yiti, Muscat",Villa,https://www.bayut.om/en/property/details-130300184.html,3
5 Bedrooms Villa For Sale Al Sifah Muscat,"OMR922,000",5,5,405 Sq. M.,"Yiti, Muscat",Villa,https://www.bayut.om/en/property/details-130300176.html,3
"Residential Land For Sale in Al Amarat, Muscat","OMR6,200",N/A,N/A,"1,000 Sq. M.","Al Amarat, Muscat",Other,https://www.bayut.om/en/property/details-130263239.html,3
2 Bedroom Apartment For Sale in Oman,"OMR8,000",2,2,900 Sq. M.,Oman,Apartment,https://www.bayut.om/en/property/details-500024574.html,3
"3 Bedrooms Chalet For Sale in Barka, Al Batinah","OMR59,000",3,3,192 Sq. M.,"Barka, Al Batinah",Other,https://www.bayut.om/en/property/details-130262532.html,3
"3 Bedrooms Apartment For Sale Al Khuwair, Muscat","OMR60,000",3,4,125 Sq. M.,"Al Khuwair, Muscat",Apartment,https://www.bayut.om/en/property/details-130303602.html,3
"1 Bedroom Apartment For Sale The Wave (Almouj), Muscat","OMR100,000",1,1,90 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130306981.html,3
1 Bedroom Apartment For Sale Muscat (The Wave (Almouj)),"OMR89,000",1,1,104 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130303472.html,3
"2 Bedroom Chalet For Sale Al Sifah, Muscat","OMR190,000",2,3,990 Sq. M.,"Al Sifah, Muscat",Other,https://www.bayut.om/en/property/details-130260258.html,3
"2 Bedrooms Apartment For Sale in Muscat Hills, Muscat","OMR85,000",2,3,120 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130288064.html,4
"6 Bedroom Villa For Sale in The Wave (Almouj), Muscat","OMR725,000",6,7,606 Sq. M.,"The Wave (Almouj), Muscat",Villa,https://www.bayut.om/en/property/details-130326939.html,4
"2 Bedrooms Apartment For Sale in Salalah, Dhofar","OMR20,000",2,2,64 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130291600.html,4
"3 Bedrooms Chalet For Sale Misfah, Muscat","OMR95,000",3,4,600 Sq. M.,"Misfah, Muscat",Other,https://www.bayut.om/en/property/details-130301210.html,4
"5 Bedrooms Villa For Sale in Al Maabilah, Muscat","OMR105,000",5,6,300 Sq. M.,"Al Maabilah, Muscat",Villa,https://www.bayut.om/en/property/details-130298050.html,4
5 Bedrooms Villa For Sale Al Khoud Muscat,"OMR137,000",5,6,420 Sq. M.,"Al Khoud, Muscat",Villa,https://www.bayut.om/en/property/details-130298134.html,4
"3 Bedrooms Villa For Sale in Al Khoud, Muscat","OMR165,000",3,5,500 Sq. M.,"Al Khoud, Muscat",Villa,https://www.bayut.om/en/property/details-130298064.html,4
6 Bedrooms Villa For Sale Al Mawaleh Muscat,"OMR160,000",6,5,408 Sq. M.,"Al Mawaleh, Muscat",Villa,https://www.bayut.om/en/property/details-130298043.html,4
"1 Bedroom Apartment For Sale Taqah, Dhofar","OMR55,000",1,1,75 Sq. M.,"Taqah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130304903.html,4
"7 Bedroom Villa For Sale in Ansab, Muscat","OMR232,000",7,9,664 Sq. M.,"Ansab, Muscat",Villa,https://www.bayut.om/en/property/details-130273642.html,4
2 Bedrooms Apartment For Sale Muscat (The Wave (Almouj)),"OMR135,000",2,2,138 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130289802.html,4
2 Bedrooms Apartment For Sale The Wave (Almouj) Muscat,"OMR140,000",2,2,127 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130283301.html,4
"1 Bedroom Apartment For Sale Al Hail, Muscat","OMR39,000",1,1,79 Sq. M.,"Al Hail, Muscat",Apartment,https://www.bayut.om/en/property/details-130288072.html,4
